Period,Group,Statistic,Home,Away,Match
Full Match,Match overview,Ball possession,64%,36%,Match 1
Full Match,Match overview,Expected goals,3.02,1.16,Match 1
Full Match,Match overview,Big chances,9,2,Match 1
Full Match,Match overview,Total shots,19,10,Match 1
Full Match,Match overview,Goalkeeper saves,2,6,Match 1
Full Match,Match overview,Corner kicks,7,4,Match 1
Full Match,Match overview,Fouls,15,9,Match 1
Full Match,Match overview,Passes,604,327,Match 1
Full Match,Match overview,Tackles,19,29,Match 1
Full Match,Match overview,Free kicks,9,12,Match 1
Full Match,Match overview,Yellow cards,2,2,Match 1
Full Match,Shots,Total shots,19,10,Match 1
Full Match,Shots,Shots on target,9,2,Match 1
Full Match,Shots,Hit woodwork,0,0,Match 1
Full Match,Shots,Shots off target,7,4,Match 1
Full Match,Shots,Blocked shots,3,4,Match 1
Full Match,Shots,Shots inside box,15,6,Match 1
Full Match,Shots,Shots outside box,4,4,Match 1
Full Match,Attack,Big chances scored,2,0,Match 1
Full Match,Attack,Big chances missed,7,2,Match 1
Full Match,Attack,Through balls,2,0,Match 1
Full Match,Attack,Touches in penalty area,37,18,Match 1
Full Match,Attack,Fouled in final third,3,2,Match 1
Full Match,Attack,Offsides,1,1,Match 1
Full Match,Passes,Accurate passes,547,265,Match 1
Full Match,Passes,Throw-ins,23,10,Match 1
Full Match,Passes,Final third entries,57,30,Match 1
Full Match,Passes,Final third phase,102/132 (77%),44/69 (64%),Match 1
Full Match,Passes,Long balls,35/51 (69%),14/27 (52%),Match 1
Full Match,Passes,Crosses,3/10 (30%),4/9 (44%),Match 1
Full Match,Duels,Duels,44%,56%,Match 1
Full Match,Duels,Dispossessed,14,13,Match 1
Full Match,Duels,Ground duels,34/80 (43%),46/80 (58%),Match 1
Full Match,Duels,Aerial duels,6/10 (60%),4/10 (40%),Match 1
Full Match,Duels,Dribbles,6/21 (29%),5/11 (45%),Match 1
Full Match,Defending,Tackles won,74%,55%,Match 1
Full Match,Defending,Total tackles,19,29,Match 1
Full Match,Defending,Interceptions,8,7,Match 1
Full Match,Defending,Recoveries,47,44,Match 1
Full Match,Defending,Clearances,10,18,Match 1
Full Match,Goalkeeping,Total saves,2,6,Match 1
Full Match,Goalkeeping,Goals prevented,0.15,0.95,Match 1
Full Match,Goalkeeping,High claims,1,1,Match 1
Full Match,Goalkeeping,Goal kicks,8,6,Match 1
First Half,Match overview,Ball possession,66%,34%,Match 1
First Half,Match overview,Expected goals,0.44,0.77,Match 1
First Half,Match overview,Big chances,2,1,Match 1
First Half,Match overview,Total shots,7,7,Match 1
First Half,Match overview,Goalkeeper saves,1,2,Match 1
First Half,Match overview,Corner kicks,2,1,Match 1
First Half,Match overview,Passes,374,190,Match 1
First Half,Match overview,Tackles,10,12,Match 1
First Half,Match overview,Free kicks,3,6,Match 1
First Half,Match overview,Yellow cards,0,0,Match 1
First Half,Shots,Total shots,7,7,Match 1
First Half,Shots,Shots on target,2,1,Match 1
First Half,Shots,Hit woodwork,0,0,Match 1
First Half,Shots,Shots off target,3,2,Match 1
First Half,Shots,Blocked shots,2,4,Match 1
First Half,Shots,Shots inside box,5,4,Match 1
First Half,Shots,Shots outside box,2,3,Match 1
First Half,Attack,Big chances scored,0,0,Match 1
First Half,Attack,Big chances missed,2,1,Match 1
First Half,Attack,Through balls,0,0,Match 1
First Half,Attack,Fouled in final third,0,1,Match 1
First Half,Attack,Offsides,1,1,Match 1
First Half,Passes,Accurate passes,344,159,Match 1
First Half,Passes,Throw-ins,10,5,Match 1
First Half,Passes,Final third entries,36,15,Match 1
First Half,Passes,Long balls,16/24 (67%),8/15 (53%),Match 1
First Half,Passes,Crosses,1/5 (20%),2/3 (67%),Match 1
First Half,Duels,Duels,41%,59%,Match 1
First Half,Duels,Dispossessed,3,7,Match 1
First Half,Duels,Ground duels,16/37 (43%),21/37 (57%),Match 1
First Half,Duels,Aerial duels,1/4 (25%),3/4 (75%),Match 1
First Half,Duels,Dribbles,3/12 (25%),3/6 (50%),Match 1
First Half,Defending,Tackles won,70%,58%,Match 1
First Half,Defending,Total tackles,10,12,Match 1
First Half,Defending,Interceptions,3,2,Match 1
First Half,Defending,Recoveries,24,24,Match 1
First Half,Defending,Clearances,3,13,Match 1
First Half,Goalkeeping,Total saves,1,2,Match 1
First Half,Goalkeeping,Goal kicks,4,2,Match 1
Second Half,Match overview,Ball possession,62%,38%,Match 1
Second Half,Match overview,Expected goals,2.58,0.39,Match 1
Second Half,Match overview,Big chances,7,1,Match 1
Second Half,Match overview,Total shots,12,3,Match 1
Second Half,Match overview,Goalkeeper saves,1,4,Match 1
Second Half,Match overview,Corner kicks,5,3,Match 1
Second Half,Match overview,Passes,230,137,Match 1
Second Half,Match overview,Tackles,9,17,Match 1
Second Half,Match overview,Free kicks,6,6,Match 1
Second Half,Match overview,Yellow cards,2,2,Match 1
Second Half,Shots,Total shots,12,3,Match 1
Second Half,Shots,Shots on target,7,1,Match 1
Second Half,Shots,Hit woodwork,0,0,Match 1
Second Half,Shots,Shots off target,4,2,Match 1
Second Half,Shots,Blocked shots,1,0,Match 1
Second Half,Shots,Shots inside box,10,2,Match 1
Second Half,Shots,Shots outside box,2,1,Match 1
Second Half,Attack,Big chances scored,2,0,Match 1
Second Half,Attack,Big chances missed,5,1,Match 1
Second Half,Attack,Through balls,2,0,Match 1
Second Half,Attack,Fouled in final third,3,1,Match 1
Second Half,Attack,Offsides,0,0,Match 1
Second Half,Passes,Accurate passes,203,106,Match 1
Second Half,Passes,Throw-ins,13,5,Match 1
Second Half,Passes,Final third entries,21,15,Match 1
Second Half,Passes,Long balls,19/27 (70%),6/12 (50%),Match 1
Second Half,Passes,Crosses,2/5 (40%),2/6 (33%),Match 1
Second Half,Duels,Duels,47%,53%,Match 1
Second Half,Duels,Dispossessed,11,6,Match 1
Second Half,Duels,Ground duels,18/43 (42%),25/43 (58%),Match 1
Second Half,Duels,Aerial duels,5/6 (83%),1/6 (17%),Match 1
Second Half,Duels,Dribbles,3/9 (33%),2/5 (40%),Match 1
Second Half,Defending,Tackles won,78%,53%,Match 1
Second Half,Defending,Total tackles,9,17,Match 1
Second Half,Defending,Interceptions,5,5,Match 1
Second Half,Defending,Recoveries,23,20,Match 1
Second Half,Defending,Clearances,7,5,Match 1
Second Half,Goalkeeping,Total saves,1,4,Match 1
Second Half,Goalkeeping,Goal kicks,4,4,Match 1
Full Match,Match overview,Ball possession,39%,61%,Match 2
Full Match,Match overview,Expected goals,0.12,2.72,Match 2
Full Match,Match overview,Big chances,0,5,Match 2
Full Match,Match overview,Total shots,3,22,Match 2
Full Match,Match overview,Goalkeeper saves,8,3,Match 2
Full Match,Match overview,Corner kicks,0,11,Match 2
Full Match,Match overview,Fouls,12,9,Match 2
Full Match,Match overview,Passes,355,551,Match 2
Full Match,Match overview,Tackles,22,24,Match 2
Full Match,Match overview,Free kicks,9,12,Match 2
Full Match,Match overview,Yellow cards,2,0,Match 2
Full Match,Shots,Total shots,3,22,Match 2
Full Match,Shots,Shots on target,3,9,Match 2
Full Match,Shots,Hit woodwork,0,2,Match 2
Full Match,Shots,Shots off target,0,7,Match 2
Full Match,Shots,Blocked shots,0,6,Match 2
Full Match,Shots,Shots inside box,1,14,Match 2
